<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
LKOH,D,20120726,000000,1789.9000000,1706183
LKOH,D,20120727,000000,1816.6000000,1124851
LKOH,D,20120730,000000,1834.8000000,1301589
LKOH,D,20120731,000000,1828.0000000,1247314
LKOH,D,20120801,000000,1836.8000000,876920
LKOH,D,20120802,000000,1820.0000000,1715974
LKOH,D,20120803,000000,1831.5000000,1356017
LKOH,D,20120806,000000,1847.0000000,1768142
LKOH,D,20120807,000000,1873.4000000,1266566
LKOH,D,20120808,000000,1875.0000000,849435
LKOH,D,20120809,000000,1877.0000000,1072084
LKOH,D,20120810,000000,1859.3000000,1096611
LKOH,D,20120813,000000,1882.0000000,1155114
LKOH,D,20120814,000000,1889.0000000,826330
LKOH,D,20120815,000000,1866.0000000,1543113
LKOH,D,20120816,000000,1866.2000000,919459
LKOH,D,20120817,000000,1871.9000000,901710
LKOH,D,20120820,000000,1856.1000000,1004508
LKOH,D,20120821,000000,1875.0000000,1358958
LKOH,D,20120822,000000,1871.2000000,961967
LKOH,D,20120823,000000,1883.6000000,1503411
LKOH,D,20120824,000000,1885.0000000,1076471
LKOH,D,20120827,000000,1883.0000000,708141
LKOH,D,20120828,000000,1881.0000000,1380191
LKOH,D,20120829,000000,1872.0000000,1203888
LKOH,D,20120830,000000,1872.8000000,1291710
LKOH,D,20120831,000000,1837.4000000,2093551
LKOH,D,20120903,000000,1858.6000000,969190
LKOH,D,20120904,000000,1873.9000000,958665
LKOH,D,20120905,000000,1861.6000000,929267
LKOH,D,20120906,000000,1891.1000000,1362115
LKOH,D,20120907,000000,1926.0000000,1857611
LKOH,D,20120910,000000,1929.1000000,1300616
LKOH,D,20120911,000000,1929.0000000,842616
LKOH,D,20120912,000000,1945.0000000,1105750
LKOH,D,20120913,000000,1938.0000000,824132
LKOH,D,20120914,000000,2011.2000000,2805660
LKOH,D,20120917,000000,2033.6000000,2506710
LKOH,D,20120918,000000,1990.0000000,1650214
LKOH,D,20120919,000000,1962.5000000,1656771
LKOH,D,20120920,000000,1961.8000000,1351004
LKOH,D,20120921,000000,1943.5000000,1145912
LKOH,D,20120924,000000,1943.5000000,882776
LKOH,D,20120925,000000,1940.2000000,789862
LKOH,D,20120926,000000,1914.5000000,1542113
LKOH,D,20120927,000000,1912.7000000,1018434
LKOH,D,20120928,000000,1922.3000000,1113478
LKOH,D,20121001,000000,1953.6000000,1116511
LKOH,D,20121002,000000,1961.5000000,880034
LKOH,D,20121003,000000,1955.0000000,797329
LKOH,D,20121004,000000,1916.8000000,1212415
LKOH,D,20121005,000000,1935.2000000,1199308
LKOH,D,20121008,000000,1933.6000000,717780
LKOH,D,20121009,000000,1947.7000000,1127071
LKOH,D,20121010,000000,1937.0000000,909415
LKOH,D,20121011,000000,1941.2000000,779502
LKOH,D,20121012,000000,1923.0000000,1135590
LKOH,D,20121015,000000,1926.1000000,706541
LKOH,D,20121016,000000,1953.0000000,1206595
LKOH,D,20121017,000000,1980.6000000,1599264
LKOH,D,20121018,000000,1988.0000000,1671011
LKOH,D,20121019,000000,1970.2000000,889950
LKOH,D,20121022,000000,1985.9000000,954604
LKOH,D,20121023,000000,1940.7000000,1706851
LKOH,D,20121024,000000,1919.6000000,1973829
LKOH,D,20121025,000000,1921.8000000,831743
LKOH,D,20121026,000000,1880.3000000,1627810
LKOH,D,20121029,000000,1902.9000000,649152
LKOH,D,20121030,000000,1899.0000000,722664
LKOH,D,20121031,000000,1904.0000000,827270
LKOH,D,20121101,000000,1922.0000000,1159825
LKOH,D,20121102,000000,1944.0000000,1139972
LKOH,D,20121106,000000,1954.0000000,1118504
LKOH,D,20121107,000000,1923.0000000,1237743
LKOH,D,20121108,000000,1936.4000000,1532914
LKOH,D,20121109,000000,1918.7000000,946343
LKOH,D,20121112,000000,1919.0000000,748593
LKOH,D,20121113,000000,1856.8000000,1724691
LKOH,D,20121114,000000,1863.0000000,1232946
LKOH,D,20121115,000000,1895.2000000,915900
LKOH,D,20121116,000000,1885.5000000,1096645
LKOH,D,20121119,000000,1901.3000000,543281
LKOH,D,20121120,000000,1910.0000000,1158586
LKOH,D,20121121,000000,1915.4000000,970126
LKOH,D,20121122,000000,1913.3000000,654969
LKOH,D,20121123,000000,1923.7000000,705762
LKOH,D,20121126,000000,1923.2000000,829104
LKOH,D,20121127,000000,1912.5000000,1256739
LKOH,D,20121128,000000,1890.0000000,929657
LKOH,D,20121129,000000,1897.1000000,764846
LKOH,D,20121130,000000,1939.4000000,1366242
LKOH,D,20121203,000000,1955.7000000,850881
LKOH,D,20121204,000000,1938.0000000,855103
LKOH,D,20121205,000000,1973.1000000,964308
LKOH,D,20121206,000000,1979.9000000,1131675
LKOH,D,20121207,000000,1993.7000000,825711
LKOH,D,20121210,000000,1982.7000000,949133
LKOH,D,20121211,000000,1998.9000000,956078
LKOH,D,20121212,000000,2014.4000000,1304084
LKOH,D,20121213,000000,1995.0000000,2178439
