<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
QIWI,D,20140923,000000,1264.0000000,463
QIWI,D,20140924,000000,1237.2000000,1371
QIWI,D,20140925,000000,1364.9000000,285
QIWI,D,20140926,000000,1250.5000000,654
QIWI,D,20140929,000000,1251.6000000,301
QIWI,D,20140930,000000,1260.9000000,1130
QIWI,D,20141001,000000,1255.0000000,433
QIWI,D,20141002,000000,1340.0000000,1722
QIWI,D,20141003,000000,1225.0000000,1925
QIWI,D,20141006,000000,1220.0000000,225
QIWI,D,20141007,000000,1215.0000000,782
QIWI,D,20141008,000000,1200.0000000,166
QIWI,D,20141009,000000,1170.0000000,925
QIWI,D,20141010,000000,1140.0000000,417
QIWI,D,20141013,000000,1105.0000000,633
QIWI,D,20141014,000000,1150.0000000,1986
QIWI,D,20141015,000000,1140.0000000,2407
QIWI,D,20141016,000000,1160.0000000,1160
QIWI,D,20141017,000000,1230.0000000,4604
QIWI,D,20141020,000000,1200.0000000,724
QIWI,D,20141021,000000,1240.0000000,997
QIWI,D,20141022,000000,1260.0000000,709
QIWI,D,20141023,000000,1275.0000000,566
QIWI,D,20141024,000000,1125.0000000,5258
QIWI,D,20141027,000000,1200.0000000,5235
QIWI,D,20141028,000000,1235.0000000,1973
QIWI,D,20141029,000000,1235.0000000,573
QIWI,D,20141030,000000,1260.0000000,2433
QIWI,D,20141031,000000,1350.0000000,1799
QIWI,D,20141103,000000,1380.0000000,194
QIWI,D,20141105,000000,1400.0000000,1611
QIWI,D,20141106,000000,1425.0000000,627
QIWI,D,20141107,000000,1400.0000000,248
QIWI,D,20141110,000000,1340.0000000,126
QIWI,D,20141111,000000,1475.0000000,2038
QIWI,D,20141112,000000,1375.0000000,946
QIWI,D,20141113,000000,1400.0000000,885
QIWI,D,20141114,000000,1395.0000000,81
QIWI,D,20141117,000000,1405.0000000,144
QIWI,D,20141118,000000,1350.0000000,61
QIWI,D,20141119,000000,1370.0000000,23
QIWI,D,20141120,000000,1365.0000000,1754
QIWI,D,20141121,000000,1345.0000000,44
QIWI,D,20141124,000000,1330.0000000,85
QIWI,D,20141125,000000,1320.0000000,136
QIWI,D,20141126,000000,1315.0000000,188
QIWI,D,20141127,000000,1355.0000000,108
QIWI,D,20141128,000000,1390.0000000,592
QIWI,D,20141201,000000,1395.0000000,529
QIWI,D,20141202,000000,1415.0000000,686
QIWI,D,20141203,000000,1410.0000000,103
QIWI,D,20141204,000000,1395.0000000,413
QIWI,D,20141205,000000,1350.0000000,51
QIWI,D,20141208,000000,1310.0000000,126
QIWI,D,20141209,000000,1275.0000000,36
QIWI,D,20141210,000000,1400.0000000,51
QIWI,D,20141211,000000,1405.0000000,53
QIWI,D,20141212,000000,1410.0000000,13
QIWI,D,20141215,000000,1350.0000000,765
QIWI,D,20141216,000000,1365.0000000,608
QIWI,D,20141217,000000,1225.0000000,885
QIWI,D,20141218,000000,1200.0000000,1417
QIWI,D,20141219,000000,1200.0000000,500
QIWI,D,20141222,000000,1155.0000000,2172
QIWI,D,20141223,000000,1140.0000000,535
QIWI,D,20141224,000000,1110.0000000,17
QIWI,D,20141225,000000,1200.0000000,137
QIWI,D,20141226,000000,1155.0000000,247
QIWI,D,20141229,000000,1235.0000000,586
QIWI,D,20141230,000000,1135.0000000,946
QIWI,D,20150105,000000,1220.0000000,252
QIWI,D,20150106,000000,1230.0000000,422
QIWI,D,20150108,000000,1310.0000000,178
QIWI,D,20150109,000000,1360.0000000,470
QIWI,D,20150112,000000,1355.0000000,149
QIWI,D,20150113,000000,1375.0000000,263
QIWI,D,20150114,000000,1420.0000000,641
QIWI,D,20150115,000000,1430.0000000,943
QIWI,D,20150116,000000,1430.0000000,1657
QIWI,D,20150119,000000,1440.0000000,145
QIWI,D,20150120,000000,1435.0000000,367
QIWI,D,20150121,000000,1425.0000000,54
QIWI,D,20150122,000000,1415.0000000,35
QIWI,D,20150123,000000,1400.0000000,168
QIWI,D,20150126,000000,1420.0000000,337
QIWI,D,20150127,000000,1415.0000000,362
QIWI,D,20150128,000000,1355.0000000,63
QIWI,D,20150129,000000,1375.0000000,127
QIWI,D,20150130,000000,1395.0000000,13
QIWI,D,20150202,000000,1330.0000000,138
QIWI,D,20150203,000000,1295.0000000,75
QIWI,D,20150204,000000,1320.0000000,351
QIWI,D,20150205,000000,1365.0000000,24
QIWI,D,20150206,000000,1430.0000000,324
QIWI,D,20150209,000000,1490.0000000,560
QIWI,D,20150210,000000,1450.0000000,38
QIWI,D,20150211,000000,1505.0000000,3879
QIWI,D,20150212,000000,1560.0000000,259
QIWI,D,20150213,000000,1600.0000000,475
QIWI,D,20150216,000000,1565.0000000,207
QIWI,D,20150217,000000,1585.0000000,949
QIWI,D,20150218,000000,1575.0000000,23
QIWI,D,20150219,000000,1540.0000000,896
QIWI,D,20150220,000000,1475.0000000,36
QIWI,D,20150224,000000,1425.0000000,6
QIWI,D,20150225,000000,1435.0000000,33
QIWI,D,20150226,000000,1435.0000000,24
QIWI,D,20150227,000000,1420.0000000,10
QIWI,D,20150302,000000,1440.0000000,31
QIWI,D,20150303,000000,1445.0000000,64
QIWI,D,20150304,000000,1370.0000000,144
QIWI,D,20150305,000000,1360.0000000,528
QIWI,D,20150306,000000,1415.0000000,2636
QIWI,D,20150310,000000,1365.0000000,7067
QIWI,D,20150311,000000,1400.0000000,30
QIWI,D,20150312,000000,1345.0000000,917
QIWI,D,20150313,000000,1285.0000000,701
QIWI,D,20150316,000000,1315.0000000,20
QIWI,D,20150317,000000,1285.0000000,23
QIWI,D,20150318,000000,1280.0000000,254
QIWI,D,20150319,000000,1260.0000000,44
QIWI,D,20150320,000000,1255.0000000,153
QIWI,D,20150323,000000,1255.0000000,123
QIWI,D,20150324,000000,1325.0000000,819
QIWI,D,20150325,000000,1375.0000000,171
QIWI,D,20150326,000000,1350.0000000,65
QIWI,D,20150327,000000,1330.0000000,20
QIWI,D,20150330,000000,1375.0000000,83
QIWI,D,20150331,000000,1400.0000000,490
QIWI,D,20150401,000000,1420.0000000,216
QIWI,D,20150402,000000,1405.0000000,550
QIWI,D,20150403,000000,1360.0000000,134
QIWI,D,20150406,000000,1440.0000000,328
QIWI,D,20150407,000000,1390.0000000,471
QIWI,D,20150408,000000,1430.0000000,56
QIWI,D,20150409,000000,1385.0000000,52
QIWI,D,20150410,000000,1395.0000000,43
QIWI,D,20150413,000000,1400.0000000,52
QIWI,D,20150414,000000,1340.0000000,130
QIWI,D,20150415,000000,1360.0000000,10
QIWI,D,20150416,000000,1355.0000000,37
QIWI,D,20150417,000000,1385.0000000,264
QIWI,D,20150420,000000,1335.0000000,128
QIWI,D,20150421,000000,1350.0000000,31
QIWI,D,20150422,000000,1340.0000000,23
QIWI,D,20150423,000000,1380.0000000,34
QIWI,D,20150424,000000,1390.0000000,295
QIWI,D,20150427,000000,1395.0000000,11
QIWI,D,20150428,000000,1390.0000000,1
QIWI,D,20150429,000000,1380.0000000,39
QIWI,D,20150430,000000,1375.0000000,2
QIWI,D,20150505,000000,1380.0000000,93
QIWI,D,20150506,000000,1390.0000000,46
QIWI,D,20150507,000000,1400.0000000,9
QIWI,D,20150508,000000,1450.0000000,100
QIWI,D,20150512,000000,1420.0000000,7
QIWI,D,20150513,000000,1465.0000000,85
QIWI,D,20150514,000000,1645.0000000,2502
QIWI,D,20150515,000000,1705.0000000,2548
QIWI,D,20150518,000000,1695.0000000,135
QIWI,D,20150519,000000,1705.0000000,198
QIWI,D,20150520,000000,1680.0000000,27
QIWI,D,20150521,000000,1600.0000000,42
QIWI,D,20150522,000000,1605.0000000,7
QIWI,D,20150525,000000,1605.0000000,10
QIWI,D,20150526,000000,1560.0000000,47
QIWI,D,20150527,000000,1570.0000000,74
QIWI,D,20150528,000000,1590.0000000,24
QIWI,D,20150529,000000,1575.0000000,2
QIWI,D,20150601,000000,1615.0000000,62
QIWI,D,20150602,000000,1630.0000000,3
QIWI,D,20150603,000000,1635.0000000,2
QIWI,D,20150604,000000,1605.0000000,2
QIWI,D,20150608,000000,1620.0000000,21
QIWI,D,20150609,000000,1605.0000000,13
QIWI,D,20150610,000000,1650.0000000,1
QIWI,D,20150611,000000,1605.0000000,1
QIWI,D,20150615,000000,1600.0000000,113
QIWI,D,20150616,000000,1540.0000000,26
QIWI,D,20150617,000000,1500.0000000,69
QIWI,D,20150618,000000,1550.0000000,32
QIWI,D,20150619,000000,1560.0000000,57
QIWI,D,20150622,000000,1560.0000000,10
QIWI,D,20150623,000000,1590.0000000,1
QIWI,D,20150624,000000,1605.0000000,19
QIWI,D,20150625,000000,1555.0000000,9
QIWI,D,20150626,000000,1555.0000000,1
QIWI,D,20150629,000000,1640.0000000,86
QIWI,D,20150630,000000,1585.0000000,1
QIWI,D,20150702,000000,1575.0000000,5
QIWI,D,20150703,000000,1495.0000000,22
QIWI,D,20150706,000000,1585.0000000,2
QIWI,D,20150707,000000,1490.0000000,46
QIWI,D,20150708,000000,1545.0000000,29
QIWI,D,20150709,000000,1550.0000000,7
QIWI,D,20150710,000000,1505.0000000,3
QIWI,D,20150713,000000,1575.0000000,5
QIWI,D,20150714,000000,1525.0000000,1
QIWI,D,20150715,000000,1515.0000000,3
QIWI,D,20150717,000000,1605.0000000,77
QIWI,D,20150720,000000,1605.0000000,1
QIWI,D,20150721,000000,1665.0000000,132
QIWI,D,20150722,000000,1670.0000000,53
QIWI,D,20150723,000000,1625.0000000,140
QIWI,D,20150724,000000,1600.0000000,85
QIWI,D,20150727,000000,1660.0000000,52
QIWI,D,20150728,000000,1735.0000000,329
QIWI,D,20150729,000000,1730.0000000,44
QIWI,D,20150731,000000,1680.0000000,232
QIWI,D,20150803,000000,1850.0000000,279
QIWI,D,20150804,000000,1800.0000000,63
QIWI,D,20150805,000000,1895.0000000,19
QIWI,D,20150806,000000,1750.0000000,12
QIWI,D,20150807,000000,1830.0000000,54
QIWI,D,20150810,000000,1880.0000000,11
QIWI,D,20150811,000000,1835.0000000,35
QIWI,D,20150812,000000,1795.0000000,530
QIWI,D,20150813,000000,1735.0000000,41
QIWI,D,20150814,000000,1835.0000000,14
QIWI,D,20150818,000000,1895.0000000,14
QIWI,D,20150819,000000,1795.0000000,3
QIWI,D,20150820,000000,1680.0000000,77
QIWI,D,20150821,000000,1650.0000000,127
QIWI,D,20150824,000000,1615.0000000,59
QIWI,D,20150825,000000,1665.0000000,212
QIWI,D,20150826,000000,1625.0000000,691
QIWI,D,20150827,000000,1665.0000000,39
QIWI,D,20150828,000000,1700.0000000,51
QIWI,D,20150831,000000,1735.0000000,20
QIWI,D,20150901,000000,1640.0000000,52
QIWI,D,20150902,000000,1450.0000000,1131
QIWI,D,20150903,000000,1465.0000000,413
QIWI,D,20150904,000000,1480.0000000,35
QIWI,D,20150907,000000,1500.0000000,58
QIWI,D,20150908,000000,1500.0000000,219
QIWI,D,20150909,000000,1400.0000000,1492
QIWI,D,20150910,000000,1325.0000000,1042
QIWI,D,20150911,000000,1325.0000000,5169
QIWI,D,20150914,000000,1315.0000000,1848
QIWI,D,20150915,000000,1305.0000000,2785
